iter	Passed	Remaining
422	2351	3207
423	2357	3202
424	2361	3195
425	2366	3189
426	2373	3184
427	2377	3177
428	2382	3170
429	2388	3166
430	2393	3160
431	2398	3153
432	2404	3148
433	2408	3141
434	2413	3134
435	2418	3128
436	2423	3122
437	2428	3116
438	2432	3108
439	2438	3103
440	2443	3097
441	2448	3090
442	2454	3086
443	2459	3079
444	2464	3073
445	2470	3068
446	2475	3062
447	2479	3055
448	2484	3049
449	2490	3043
450	2494	3036
451	2499	3029
452	2504	3024
453	2509	3017
454	2513	3010
455	2518	3004
456	2523	2998
457	2528	2992
458	2533	2986
459	2539	2981
460	2544	2974
461	2549	2968
462	2555	2963
463	2559	2957
464	2564	2950
465	2570	2945
466	2574	2938
467	2579	2932
468	2584	2926
469	2590	2921
470	2594	2914
471	2599	2908
472	2605	2902
473	2610	2896
474	2614	2889
475	2620	2885
476	2625	2878
477	2630	2872
478	2636	2867
479	2640	2861
480	2645	2854
481	2651	2849
482	2656	2843
483	2661	2837
484	2666	2831
485	2672	2826
486	2677	2820
487	2682	2814
488	2688	2809
489	2693	2803
490	2698	2797
491	2704	2792
492	2708	2785
493	2713	2779
494	2719	2774
495	2724	2768
496	2729	2762
497	2734	2756
498	2739	2750
499	2744	2744
500	2750	2739
501	2755	2733
502	2760	2727
503	2764	2720
504	2771	2716
505	2775	2710
506	2780	2703
507	2786	2699
508	2791	2692
509	2796	2686
510	2802	2682
511	2807	2675
512	2812	2669
513	2818	2664
514	2823	2658
515	2827	2652
516	2832	2645
517	2838	2640
518	2842	2634
519	2847	2628
520	2853	2623
521	2858	2617
522	2862	2611
523	2868	2606
524	2873	2600
525	2878	2593
526	2885	2589
527	2889	2583
528	2894	2577
529	2899	2571
530	2905	2566
531	2910	2560
532	2915	2554
533	2920	2548
534	2925	2542
535	2930	2536
536	2935	2530
537	2940	2524
538	2944	2518
539	2950	2513
540	2955	2507
541	2960	2501
542	2965	2496
543	2971	2490
544	2975	2484
545	2980	2478
546	2986	2472
547	2990	2466
548	2995	2460
549	3000	2454
550	3005	2448
551	3009	2442
552	3014	2436
553	3019	2430
554	3023	2424
555	3028	2418
556	3035	2414
557	3041	2408
558	3047	2403
559	3053	2399
560	3059	2393
561	3064	2388
562	3069	2382
563	3074	2376
564	3078	2370
565	3084	2365
566	3089	2359
567	3094	2353
568	3100	2348
569	3105	2343
570	3110	2337
571	3116	2331
572	3121	2326
573	3126	2320
574	3131	2314
575	3137	2309
576	3142	2303
577	3146	2297
578	3152	2292
579	3157	2286
580	3162	2280
581	3168	2275
582	3173	2269
583	3178	2264
584	3183	2258
585	3188	2252
586	3192	2246
587	3197	2240
588	3203	2235
589	3207	2229
590	3212	2223
591	3218	2218
592	3223	2212
593	3228	2206
594	3234	2201
595	3239	2195
596	3243	2189
597	3249	2184
598	3253	2178
599	3258	2172
600	3263	2166
601	3268	2161
602	3273	2155
603	3278	2149
604	3284	2144
605	3289	2138
606	3294	2132
607	3299	2127
608	3304	2121
609	3308	2115
610	3313	2109
611	3318	2103
612	3322	2097
613	3327	2091
614	3333	2086
615	3337	2080
616	3347	2077
617	3354	2073
618	3361	2068
619	3366	2063
620	3371	2057
621	3376	2052
622	3381	2046
623	3385	2040
624	3390	2034
625	3395	2028
626	3399	2022
627	3404	2016
628	3409	2011
629	3414	2005
630	3418	1999
631	3423	1993
632	3428	1987
633	3433	1981
634	3437	1976
635	3444	1971
636	3448	1965
637	3453	1959
638	3458	1953
639	3464	1948
640	3469	1943
641	3474	1937
642	3480	1932
643	3485	1926
644	3489	1920
645	3494	1914
646	3499	1909
647	3504	1903
648	3510	1898
649	3515	1893
650	3520	1887
651	3526	1882
652	3531	1876
653	3536	1870
654	3541	1865
655	3546	1859
656	3551	1854
657	3556	1848
658	3562	1843
659	3567	1837
660	3572	1832
661	3578	1827
662	3583	1821
663	3587	1815
664	3593	1810
665	3598	1804
666	3603	1798
667	3608	1793
668	3612	1787
669	3617	1781
670	3621	1775
671	3626	1770
672	3631	1764
673	3636	1758
674	3640	1752
675	3645	1747
676	3649	1741
677	3654	1735
678	3659	1730
679	3664	1724
680	3669	1718
681	3673	1713
682	3678	1707
683	3682	1701
684	3687	1695
685	3692	1690
686	3697	1684
687	3701	1678
688	3706	1673
689	3711	1667
690	3716	1661
691	3720	1656
692	3725	1650
693	3730	1644
694	3734	1639
695	3739	1633
696	3744	1627
697	3748	1622
698	3753	1616
699	3759	1611
700	3764	1605
701	3769	1600
702	3775	1595
703	3781	1589
704	3786	1584
705	3792	1579
706	3797	1573
707	3802	1568
708	3808	1562
709	3813	1557
710	3817	1551
711	3822	1546
712	3828	1540
713	3833	1535
714	3838	1530
715	3843	1524
716	3848	1519
717	3853	1513
718	3858	1508
719	3865	1503
720	3872	1498
721	3879	1493
722	3886	1488
723	3893	1484
724	3899	1478
725	3905	1474
726	3912	1469
727	3918	1463
728	3923	1458
729	3928	1453
730	3933	1447
731	3939	1442
732	3944	1436
733	3949	1431
734	3954	1425
735	3959	1420
736	3964	1414
737	3969	1409
738	3975	1404
739	3980	1398
740	3985	1393
741	3991	1387
742	3996	1382
743	4001	1376
744	4007	1371
745	4012	1366
746	4021	1362
747	4028	1357
748	4033	1351
749	4039	1346
750	4044	1341
751	4049	1335
752	4055	1330
753	4060	1324
754	4065	1319
755	4070	1313
