iter	Logloss
202	0.6027685745
203	0.6024669574
204	0.6019516787
205	0.6014143679
206	0.600897856
207	0.6006028284
208	0.6001611562
209	0.5997193699
210	0.5992658378
211	0.5990441388
212	0.5988229145
213	0.5984424082
214	0.5979897728
215	0.5975241459
216	0.5972018343
217	0.5968396633
218	0.5966057924
219	0.5961210447
220	0.5956331565
221	0.5952566234
222	0.5946674216
223	0.5943995495
224	0.5939649357
225	0.5938375328
226	0.5933908312
227	0.5929920572
228	0.5927296571
229	0.5925908791
230	0.5924141254
231	0.5922037718
232	0.591884917
233	0.5915937791
234	0.5912898988
235	0.5908887752
236	0.5905115571
237	0.5901187348
238	0.5899756629
239	0.5893728508
240	0.5891385864
241	0.5889217823
242	0.5887316221
243	0.5882852888
244	0.5879228037
245	0.5877515086
246	0.5874245871
247	0.586948269
248	0.5866835996
249	0.5860386824
250	0.5856592547
251	0.5853802101
252	0.5850002775
253	0.5846086711
254	0.5841937804
255	0.5836110339
256	0.5830718032
257	0.5826039078
258	0.5822961898
259	0.5819879464
260	0.5816074129
261	0.5812006235
262	0.5808342268
263	0.5805575581
264	0.5800903525
265	0.5798941097
266	0.579503902
267	0.5791186836
268	0.5787384041
269	0.5784426436
270	0.5781410001
271	0.5778886354
272	0.5776762431
273	0.5773201222
274	0.5768241192
275	0.5765322019
276	0.5761385242
277	0.5756782153
278	0.5753330552
279	0.574840736
280	0.574388629
281	0.573955008
282	0.5738545147
283	0.5736558298
284	0.573413976
285	0.5733549585
286	0.5728245437
287	0.5723911603
288	0.5719878824
289	0.5717142353
290	0.571405295
291	0.570997065
292	0.5705392882
293	0.5702806663
294	0.5701322413
295	0.5698007351
296	0.5696027385
297	0.5691866587
298	0.5686675443
299	0.5682183787
300	0.5680642983
301	0.5677876987
302	0.5675100523
303	0.5671442096
304	0.5668515065
305	0.566601301
306	0.5661384997
307	0.5658274105
308	0.5655809403
309	0.5651914835
310	0.5647384668
311	0.5643452069
312	0.5641477305
313	0.563777249
314	0.5634402799
315	0.5633488844
316	0.5629422805
317	0.5626894868
318	0.5623264534
319	0.5620254309
320	0.5618814064
321	0.5616056493
322	0.5614359941
323	0.5610771296
324	0.5607850803
325	0.560377977
326	0.5601123802
327	0.5598628114
328	0.5593320517
329	0.5590219289
330	0.5587888249
331	0.5585490668
332	0.5582647575
333	0.5579935001
334	0.5575267057
335	0.5573128771
336	0.5570917139
337	0.5569349477
338	0.5565407485
339	0.5564270588
340	0.5561005169
341	0.5559421742
342	0.555608713
343	0.5554333748
344	0.5551432934
345	0.5546490797
346	0.554311455
347	0.553995015
348	0.5536822978
349	0.5534206431
350	0.5530279144
351	0.5526773637
352	0.5524472621
353	0.5522562386
354	0.5519696369
355	0.5517489202
356	0.5514296433
357	0.5511102629
358	0.5507622417
359	0.5505154585
360	0.5503317215
361	0.5501738585
362	0.5499267704
363	0.5496552299
364	0.549353401
365	0.5492581125
366	0.5489751868
367	0.548748533
368	0.5485643533
369	0.5482536109
370	0.5478517318
371	0.5478465407
372	0.547546209
373	0.5472696439
374	0.5470858565
375	0.5466759396
376	0.5461707894
377	0.5459757918
378	0.5455880376
379	0.5453904363
380	0.5450130255
381	0.5447708387
382	0.5443179654
383	0.5440975787
384	0.5438372452
385	0.5435155637
386	0.5431520107
387	0.5427940822
388	0.542587414
389	0.5422725735
390	0.5420613104
391	0.541719392
392	0.5415047153
393	0.5411486255
394	0.5408832041
395	0.5406723452
396	0.5405252986
397	0.5401966812
398	0.5398804846
399	0.5395073967
400	0.5391772013
401	0.5388336074
402	0.5385789115
403	0.5381714685
404	0.5379675728
405	0.5377598724
406	0.5375638481
407	0.5371844946
408	0.5370213824
409	0.536649901
410	0.5362165247
411	0.5359779873
412	0.5358223692
413	0.5356334194
414	0.5355160197
415	0.5352143175
416	0.5350361984
417	0.5347566137
418	0.5345754016
419	0.5341216635
420	0.5339544121
421	0.5335397551
422	0.5332188651
423	0.5331035945
424	0.5328191448
425	0.532431046
426	0.532277466
427	0.531905201
428	0.5316588974
429	0.5315232222
430	0.5312473563
431	0.531006742
432	0.5308771282
433	0.5303283001
434	0.5301474656
435	0.5296624373
436	0.5294554909
437	0.5292490884
438	0.5290076132
439	0.5288911383
440	0.5287458878
441	0.5283791751
442	0.5280957026
443	0.5278745748
444	0.5277270216
445	0.5275805139
446	0.5270417921
447	0.52659411
448	0.5263917823
449	0.5260415478
450	0.5258295465
451	0.5256038745
452	0.5253871546
453	0.5251519993
454	0.5247014268
455	0.5242649833
456	0.5240441108
457	0.5234459262
458	0.5233774393
459	0.5231439049
460	0.5229826098
461	0.5225793185
462	0.5221895365
463	0.5217606626
464	0.5213435518
465	0.5210805713
466	0.5207311722
467	0.5204857173
468	0.5203551641
469	0.5200482083
470	0.5198619552
471	0.5197238847
472	0.5195455687
473	0.5191982562
474	0.5188550446
475	0.5185292849
476	0.5181985609
477	0.5179551982
478	0.517545303
479	0.5173426645
480	0.5171150466
481	0.5168977581
482	0.5165827804
483	0.51634707
484	0.5162329847
485	0.5157611781
486	0.5154976997
487	0.5152037509
488	0.5148452164
489	0.5145699888
490	0.5142277091
491	0.5139847365
492	0.5137353186
493	0.5134272313
494	0.513150075
495	0.5128669618
496	0.5126011563
497	0.5124501672
498	0.5121326713
499	0.51182285
500	0.5115854187
501	0.5113281589
502	0.511079002
503	0.5108606363
504	0.5106638008
505	0.5103701155
506	0.5102601565
507	0.509783055
508	0.5095663314
509	0.5093504271
510	0.5091770476
511	0.5089554775
512	0.5086297438
513	0.5084007406
514	0.5081483678
515	0.5080295507
516	0.5078736804
517	0.5075889946
518	0.5074061406
519	0.5070863998
520	0.5069581792
521	0.5066293914
522	0.5064258616
523	0.5060663037
524	0.5057351216
525	0.5053456782
526	0.5051188353
527	0.5049100357
528	0.5047064625
529	0.504470034
530	0.5041284741
531	0.5039353808
532	0.5035532375
533	0.5033801388
534	0.5031029493
535	0.5027988711
536	0.5026299574
537	0.5024613211
538	0.5023353069
539	0.5021248229
540	0.5019550598
541	0.5016831385
542	0.5015104732
543	0.5012508907
544	0.5011833444
545	0.5007437822
546	0.5004436999
547	0.5002604836
548	0.500039948
549	0.4996859489
550	0.4994039833
551	0.499268914
552	0.4989635695
553	0.4986539338
554	0.4983209869
555	0.4982139315
556	0.4981922949
557	0.4979924087
558	0.4976431255
559	0.4973501257
560	0.4970743706
561	0.4967875449
562	0.4964801961
563	0.4962729405
564	0.4959908294
565	0.495817002
566	0.4956229862
567	0.4953771591
568	0.4950872693
569	0.4949194058
570	0.4946420191
571	0.4944017974
572	0.4942237445
573	0.4938922099
574	0.4936995448
575	0.4934928733
576	0.4932808246
577	0.4929952534
578	0.4927861144
579	0.4923920127
580	0.4922416113
581	0.4920548647
582	0.4916194449
583	0.4912787862
584	0.4909180952
585	0.4906438497
586	0.4904267389
587	0.4901193186
588	0.490019219
589	0.4897542821
590	0.4895644075
591	0.4893780899
592	0.4890675681
593	0.4887702008
594	0.4886804905
595	0.4884441507
596	0.4882541803
597	0.4879495204
598	0.487503747
599	0.4872880065
600	0.4870767168
601	0.4868390147
602	0.4867796664
603	0.4864197858
604	0.486320693
605	0.4861302848
606	0.4859548873
607	0.4857533775
608	0.4855788769
609	0.4855326237
610	0.4853340452
611	0.4849370531
612	0.4848137298
613	0.4847058229
614	0.4843669975
615	0.484164353
616	0.4837991883
617	0.4835453354
618	0.4833809004
619	0.4832811536
620	0.4832464025
621	0.4830489248
622	0.482822935
623	0.482564703
624	0.4822909373
625	0.4820846259
626	0.4817454982
627	0.4813688682
628	0.481072332
629	0.4808760723
630	0.4807111204
631	0.4805052712
632	0.4802925936
633	0.4801113077
634	0.4798050433
635	0.4795993755
636	0.4795088377
637	0.479174471
638	0.4790121714
639	0.4786167453
640	0.4784023615
641	0.4782061806
642	0.4780196869
643	0.4777880104
644	0.4776892263
645	0.4775263197
646	0.4772237487
647	0.4771245876
648	0.4768292776
649	0.476557942
650	0.4763442975
651	0.4762309135
652	0.4761265472
653	0.4759195672
654	0.475803636
655	0.475590662
656	0.4752763961
657	0.4751517504
658	0.4747428698
659	0.4746053714
660	0.4742306888
661	0.4741266109
662	0.4739933239
663	0.4736864843
664	0.4733609775
665	0.4731756272
666	0.4728380562
667	0.4726798386
668	0.4724661951
669	0.4722695642
670	0.4721776026
671	0.4719896393
672	0.4717433605
673	0.4713138175
674	0.4711099362
675	0.4709845548
676	0.4708414549
677	0.4706747952
678	0.4703985864
679	0.470056698
680	0.4698540792
681	0.469650607
682	0.4694917719
683	0.4692007544
684	0.468993299
685	0.4688204964
686	0.4685578358
687	0.4682615456
688	0.4680794228
689	0.4678696706
690	0.4677758412
691	0.4675237772
692	0.4673813059
693	0.4671889043
694	0.4669276255
695	0.4665694899
696	0.4662106239
697	0.4660921511
698	0.4658344628
699	0.4656835413
700	0.4655265514
701	0.4654034378
702	0.4652175252
703	0.4651665197
704	0.4649288698
705	0.4646105845
706	0.4644237447
707	0.4641278357
708	0.4638955184
709	0.4636822447
710	0.4635356086
711	0.4633337884
712	0.4629803831
713	0.462775544
714	0.4625234332
715	0.4622979252
716	0.4621860343
717	0.4620881215
718	0.4618831085
719	0.4616490953
720	0.4614108692
721	0.4611997157
722	0.4609622478
723	0.4607785727
724	0.4605744159
725	0.4603376685
726	0.4601240111
727	0.459965067
728	0.4598732816
729	0.4596203567
730	0.4594261532
731	0.4593412466
732	0.4593043974
733	0.4591891147
734	0.4590678483
735	0.4586705556
736	0.4585139231
737	0.4583149034
738	0.4580418802
739	0.4579689571
740	0.4577654964
741	0.4575045401
742	0.4573704731
743	0.457223812
744	0.4569210409
745	0.4567417613
746	0.4564357168
747	0.4563112674
748	0.456006041
749	0.4558299778
750	0.4556541742
751	0.4554118026
752	0.4551773782
753	0.4549866242
754	0.4547154151
755	0.4546026669
756	0.4544223215
757	0.4542729893
758	0.4540284813
759	0.4537942983
760	0.4536159857
761	0.4532529992
762	0.4532022904
763	0.4531974122
764	0.4529487217
765	0.4528412886
766	0.4527264685
767	0.4523150219
768	0.4520978983
769	0.4517780645
770	0.4516568716
771	0.4514111165
772	0.4513348577
773	0.4511501836
774	0.4509278037
775	0.4507004566
776	0.4505886079
777	0.4503693892
778	0.450032286
779	0.4499688789
780	0.4497957044
781	0.4496474417
782	0.4495175889
783	0.4493683964
784	0.4491321929
785	0.4489748344
786	0.4487349919
787	0.448661647
788	0.4484669422
789	0.4482946334
790	0.4480658161
791	0.4479143982
792	0.4477651413
793	0.447481321
794	0.4472439122
795	0.4470213527
796	0.4467903553
797	0.4465906839
798	0.4465658791
799	0.4462634315
800	0.4460117162
801	0.4457202434
802	0.4455914009
803	0.4455048946
804	0.4452501239
805	0.4448766891
806	0.4448235093
807	0.4446909024
808	0.4444385313
809	0.4441920422
810	0.4439034251
811	0.4436879679
812	0.4434370777
813	0.4431664414
814	0.4430146959
815	0.4428579241
816	0.4427269128
817	0.4424536041
818	0.4422702597
819	0.4421352526
820	0.441930945
821	0.4417029763
822	0.4416367738
823	0.4413510882
824	0.4411279038
825	0.4407573123
826	0.4405471619
827	0.4403950563
828	0.4401821268
829	0.4400264678
830	0.4397308137
831	0.4396551877
832	0.4395430034
833	0.439213778
834	0.4389487444
835	0.4385823564
836	0.4384592703
837	0.4383304607
838	0.4381331863
839	0.4378396516
840	0.4377460735
841	0.4376304889
842	0.4373268757
843	0.4371180174
844	0.4370994275
845	0.4368702579
846	0.436618521
847	0.4364456938
848	0.4363155595
849	0.4361767657
850	0.4358762553
851	0.4356514874
852	0.4355462709
853	0.4355311199
854	0.4353400216
855	0.43520514
856	0.4349525777
857	0.4347671308
858	0.4344868062
859	0.4342383956
860	0.4340649124
861	0.4339144659
862	0.4337671964
863	0.4335033014
864	0.4333184105
865	0.4331712114
866	0.4328421704
867	0.4326977783
868	0.4325374983
869	0.4323127224
870	0.432096221
871	0.4319924395
872	0.4318256908
873	0.4316419067
874	0.4314743102
875	0.4312955606
876	0.431160791
877	0.4309079333
878	0.4307320995
879	0.4305936914
880	0.4304465515
881	0.4302159886
882	0.4301046825
883	0.4298329944
884	0.4296586973
885	0.4294463002
886	0.4293502038
887	0.4292123293
888	0.428925091
889	0.4286484006
890	0.4284533761
891	0.4282890061
892	0.4280358125
893	0.4277729089
894	0.4275661741
895	0.4273287534
896	0.4270792985
897	0.4269989637
898	0.4267953142
899	0.4266645043
900	0.4264167787
901	0.4263236892
902	0.426090542
903	0.4258801333
904	0.4257394568
905	0.4255701639
906	0.4253052131
907	0.4252135356
908	0.425099438
909	0.4249354064
910	0.4247394446
911	0.4245052231
912	0.4243032166
913	0.4241983528
914	0.4239956646
915	0.4237118053
916	0.4235794906
917	0.4234809694
918	0.4232752092
919	0.4230090731
920	0.4228568648
921	0.422735539
922	0.4226190446
923	0.4224127816
924	0.422199629
925	0.4221504502
926	0.4219253111
927	0.4218454442
928	0.4216135423
929	0.4213959743
930	0.4212501591
931	0.4209497554
932	0.4207071234
933	0.4205500372
934	0.420275914
935	0.420116888
936	0.4199918289
937	0.4198655965
938	0.4197101337
939	0.4194666408
940	0.4192461137
941	0.4191443918
942	0.4189946946
943	0.4188339283
944	0.4187291028
945	0.418693005
946	0.4185649029
947	0.4184258015
948	0.4183428613
949	0.4181219782
950	0.4179465566
951	0.4177647434
952	0.4176446354
953	0.4174588329
954	0.4172603729
955	0.4169197676
956	0.4168339916
957	0.4166432378
958	0.4163353836
959	0.4160445006
960	0.4158056129
961	0.4157992539
962	0.4157314924
963	0.415620899
964	0.4153994996
965	0.4152128989
966	0.4149975227
967	0.4148948903
968	0.4146819113
969	0.4144975463
970	0.4142126454
971	0.4140670392
972	0.4138545021
973	0.4136270208
974	0.4134120813
975	0.4132863603
976	0.4132207227
977	0.4131128367
978	0.4129386534
979	0.412749075
980	0.4124752381
981	0.4123090659
982	0.4121566165
983	0.4119106198
984	0.4118549934
985	0.4117527976
986	0.4114117398
987	0.4113356458
988	0.4111642919
989	0.411013208
990	0.4108219946
991	0.4106016245
992	0.4104700217
993	0.4102607528
994	0.4101341917
995	0.4099919294
996	0.4098734652
997	0.4097564168
998	0.4096080723
999	0.4095374488
