Record Date,Security Type Description,Security Class Description,Debt Held by the Public (in Millions),Intragovernmental Holdings (in Millions),Total Public Debt Outstanding (in Millions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2001/1/31,Marketable,Bonds,623370.158,459.321,623829.479,3,2001,2,2001,1,1,31
2001/2/28,Marketable,Bonds,631024.385,459.321,631482.706,3,2001,2,2001,1,2,28
2001/3/31,Marketable,Bonds,627509.778,459.321,627969.099,3,2001,2,2001,1,3,31
2001/4/30,Marketable,Bonds,622497.752,459.321,622957.073,3,2001,3,2001,2,4,30
2001/5/31,Marketable,Bonds,618263.695,459.321,618723.016,3,2001,3,2001,2,5,31
2001/6/30,Marketable,Bonds,616496.241,459.321,616955.562,3,2001,3,2001,2,6,30
2001/7/31,Marketable,Bonds,612243.839,459.321,612703.16,3,2001,4,2001,3,7,31
2001/8/31,Marketable,Bonds,612541.834,459.321,613001.155,3,2001,4,2001,3,8,31
2001/9/30,Marketable,Bonds,612529.574,459.321,612988.895,3,2001,4,2001,3,9,30
2001/10/31,Marketable,Bonds,610022.795,459.321,610482.116,3,2002,1,2001,4,10,31
2001/11/30,Marketable,Bonds,606558.967,459.321,607018.288,3,2002,1,2001,4,11,30
2001/12/31,Marketable,Bonds,602271.86,459.321,602731.181,3,2002,1,2001,4,12,31
2002/1/31,Marketable,Bonds,602270.767,459.321,602730.088,3,2002,2,2002,1,1,31
2002/2/28,Marketable,Bonds,596364.597,459.321,596823.918,3,2002,2,2002,1,2,28
2002/3/31,Marketable,Bonds,596325.15,459.321,596784.471,3,2002,2,2002,1,3,31
2002/4/30,Marketable,Bonds,592710.0003,309.921,593019.9213,3,2002,3,2002,2,4,30
2002/5/31,Marketable,Bonds,592705.4819,309.921,593015.4029,3,2002,3,2002,2,5,31
2002/6/30,Marketable,Bonds,592704.369,309.921,593014.29,3,2002,3,2002,2,6,30
2002/7/31,Marketable,Bonds,592701.788,309.921,593011.709,3,2002,4,2002,3,7,31
2002/8/31,Marketable,Bonds,592698.788,309.921,593008.709,3,2002,4,2002,3,8,31
2002/9/30,Marketable,Bonds,592694.88,309.921,593004.801,3,2002,4,2002,3,9,30
2002/10/31,Marketable,Bonds,592689.016,309.921,592998.937,3,2003,1,2002,4,10,31
2002/11/30,Marketable,Bonds,588464.944,309.921,588774.865,3,2003,1,2002,4,11,30
2002/12/31,Marketable,Bonds,588450.369,309.921,588760.29,3,2003,1,2002,4,12,31
2003/1/31,Marketable,Bonds,588445.534,309.921,588755.455,3,2003,2,2003,1,1,31
2003/2/28,Marketable,Bonds,585445.716,309.921,585755.637,3,2003,2,2003,1,2,28
2003/3/31,Marketable,Bonds,585440.351,309.921,585750.272,3,2003,2,2003,1,3,31
2003/4/30,Marketable,Bonds,585436.438,309.921,585746.359,3,2003,3,2003,2,4,30
2003/5/31,Marketable,Bonds,582200.5835,309.921,582510.5045,3,2003,3,2003,2,5,31
