Record Date,Security Type Description,Security Class Description,Debt Held by the Public (in Millions),Intragovernmental Holdings (in Millions),Total Public Debt Outstanding (in Millions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2001/1/31,Nonmarketable,United States Savings Securities,184596.41,0,184596.41,12,2001,2,2001,1,1,31
2001/2/28,Nonmarketable,United States Savings Securities,184692.62,0,184692.62,12,2001,2,2001,1,2,28
2001/3/31,Nonmarketable,United States Savings Securities,184814.768,0,184814.768,12,2001,2,2001,1,3,31
2001/4/30,Nonmarketable,United States Savings Securities,185197.953,0,185197.953,12,2001,3,2001,2,4,30
2001/5/31,Nonmarketable,United States Savings Securities,185346.531,0,185346.531,12,2001,3,2001,2,5,31
2001/6/30,Nonmarketable,United States Savings Securities,185517.237,0,185517.237,12,2001,3,2001,2,6,30
2001/7/31,Nonmarketable,United States Savings Securities,185816.262,0,185816.262,12,2001,4,2001,3,7,31
2001/8/31,Nonmarketable,United States Savings Securities,186010.532,0,186010.532,12,2001,4,2001,3,8,31
2001/9/30,Nonmarketable,United States Savings Securities,186463.784,0,186463.784,12,2001,4,2001,3,9,30
2001/10/31,Nonmarketable,United States Savings Securities,188447.656,0,188447.656,12,2002,1,2001,4,10,31
2001/11/30,Nonmarketable,United States Savings Securities,189872.527,0,189872.527,12,2002,1,2001,4,11,30
2001/12/31,Nonmarketable,United States Savings Securities,190390.288,0,190390.288,12,2002,1,2001,4,12,31
2002/1/31,Nonmarketable,United States Savings Securities,190946.991,0,190946.991,12,2002,2,2002,1,1,31
2002/2/28,Nonmarketable,United States Savings Securities,191514.125,0,191514.125,12,2002,2,2002,1,2,28
2002/3/31,Nonmarketable,United States Savings Securities,191962.283,0,191962.283,12,2002,2,2002,1,3,31
2002/4/30,Nonmarketable,United States Savings Securities,192405.681,0,192405.681,12,2002,3,2002,2,4,30
2002/5/31,Nonmarketable,United States Savings Securities,192594.4695,0,192594.4695,12,2002,3,2002,2,5,31
2002/6/30,Nonmarketable,United States Savings Securities,192771.285,0,192771.285,12,2002,3,2002,2,6,30
2002/7/31,Nonmarketable,United States Savings Securities,192957.55,0,192957.55,12,2002,4,2002,3,7,31
2002/8/31,Nonmarketable,United States Savings Securities,193091.562,0,193091.562,12,2002,4,2002,3,8,31
2002/9/30,Nonmarketable,United States Savings Securities,193312.075,0,193312.075,12,2002,4,2002,3,9,30
2002/10/31,Nonmarketable,United States Savings Securities,193854.8329,0,193854.8329,11,2003,1,2002,4,10,31
2002/11/30,Nonmarketable,United States Savings Securities,194443.081,0,194443.081,11,2003,1,2002,4,11,30
2002/12/31,Nonmarketable,United States Savings Securities,194933.142,0,194933.142,11,2003,1,2002,4,12,31
2003/1/31,Nonmarketable,United States Savings Securities,195812.747,0,195812.747,11,2003,2,2003,1,1,31
2003/2/28,Nonmarketable,United States Savings Securities,196424.13,0,196424.13,11,2003,2,2003,1,2,28
2003/3/31,Nonmarketable,United States Savings Securities,196930.117,0,196930.117,12,2003,2,2003,1,3,31
2003/4/30,Nonmarketable,United States Savings Securities,197721.2,0,197721.2,12,2003,3,2003,2,4,30
2003/5/31,Nonmarketable,United States Savings Securities,198462.8025,0,198462.8025,12,2003,3,2003,2,5,31
2003/6/30,Nonmarketable,United States Savings Securities,199180.861,0,199180.861,11,2003,3,2003,2,6,30
2003/7/31,Nonmarketable,United States Savings Securities,200036.273,0,200036.273,12,2003,4,2003,3,7,31
2003/8/31,Nonmarketable,United States Savings Securities,200773.368,0,200773.368,12,2003,4,2003,3,8,31
2003/9/30,Nonmarketable,United States Savings Securities,201561.262,0,201561.262,12,2003,4,2003,3,9,30
2003/10/31,Nonmarketable,United States Savings Securities,203009.8,0,203009.8,12,2004,1,2003,4,10,31
2003/11/30,Nonmarketable,United States Savings Securities,203585,0,203585,12,2004,1,2003,4,11,30
2003/12/31,Nonmarketable,United States Savings Securities,203861.622,0,203861.622,12,2004,1,2003,4,12,31
2004/1/31,Nonmarketable,United States Savings Securities,204253.8439,0,204253.8439,12,2004,2,2004,1,1,31
2004/2/29,Nonmarketable,United States Savings Securities,204518.3263,0,204518.3263,12,2004,2,2004,1,2,29
2004/3/31,Nonmarketable,United States Savings Securities,204465.3261,0,204465.3261,11,2004,2,2004,1,3,31
2004/4/30,Nonmarketable,United States Savings Securities,204538.9714,0,204538.9714,11,2004,3,2004,2,4,30
2004/5/31,Nonmarketable,United States Savings Securities,204665.9121,0,204665.9121,11,2004,3,2004,2,5,31
2004/6/30,Nonmarketable,United States Savings Securities,204630.5137,0,204630.5137,10,2004,3,2004,2,6,30
2004/7/31,Nonmarketable,United States Savings Securities,204558.5431,0,204558.5431,10,2004,4,2004,3,7,31
2004/8/31,Nonmarketable,United States Savings Securities,204232.3577,0,204232.3577,10,2004,4,2004,3,8,31
2004/9/30,Nonmarketable,United States Savings Securities,204200.7355,0,204200.7355,10,2004,4,2004,3,9,30
2004/10/31,Nonmarketable,United States Savings Securities,204298.8861,0,204298.8861,10,2005,1,2004,4,10,31
2004/11/30,Nonmarketable,United States Savings Securities,204425.2281,0,204425.2281,11,2005,1,2004,4,11,30
2004/12/31,Nonmarketable,United States Savings Securities,204454.4613,0,204454.4613,11,2005,1,2004,4,12,31
