Record Date,Security Type Description,Security Class Description,Debt Held by the Public (in Millions),Intragovernmental Holdings (in Millions),Total Public Debt Outstanding (in Millions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2005/1/31,Nonmarketable,United States Savings Securities,204446.3702,0,204446.3702,11,2005,2,2005,1,1,31
2005/2/28,Nonmarketable,United States Savings Securities,204471.3671,0,204471.3671,11,2005,2,2005,1,2,28
2005/3/31,Nonmarketable,United States Savings Securities,204248.0707,0,204248.0707,11,2005,2,2005,1,3,31
2005/4/30,Nonmarketable,United States Savings Securities,204206.3899,0,204206.3899,11,2005,3,2005,2,4,30
2005/5/31,Nonmarketable,United States Savings Securities,204306.9531,0,204306.9531,11,2005,3,2005,2,5,31
2005/6/30,Nonmarketable,United States Savings Securities,204217.3867,0,204217.3867,11,2005,3,2005,2,6,30
2005/7/31,Nonmarketable,United States Savings Securities,204143.8508,0,204143.8508,11,2005,4,2005,3,7,31
2005/8/31,Nonmarketable,United States Savings Securities,203808.1279,0,203808.1279,11,2005,4,2005,3,8,31
2005/9/30,Nonmarketable,United States Savings Securities,203644.938,0,203644.938,11,2005,4,2005,3,9,30
2005/10/31,Nonmarketable,United States Savings Securities,203889.9867,0,203889.9867,11,2006,1,2005,4,10,31
2005/11/30,Nonmarketable,United States Savings Securities,204578.7962,0,204578.7962,11,2006,1,2005,4,11,30
2005/12/31,Nonmarketable,United States Savings Securities,205162.4211,0,205162.4211,11,2006,1,2005,4,12,31
2006/1/31,Nonmarketable,United States Savings Securities,205604.7425,0,205604.7425,11,2006,2,2006,1,1,31
2006/2/28,Nonmarketable,United States Savings Securities,205900.7043,0,205900.7043,11,2006,2,2006,1,2,28
2006/3/31,Nonmarketable,United States Savings Securities,205975.635,0,205975.635,11,2006,2,2006,1,3,31
2006/4/30,Nonmarketable,United States Savings Securities,206067.213,0,206067.213,11,2006,3,2006,2,4,30
2006/5/31,Nonmarketable,United States Savings Securities,205669.4391,0,205669.4391,11,2006,3,2006,2,5,31
2006/6/30,Nonmarketable,United States Savings Securities,205227.2227,0,205227.2227,11,2006,3,2006,2,6,30
2006/7/31,Nonmarketable,United States Savings Securities,204825.4417,0,204825.4417,11,2006,4,2006,3,7,31
2006/8/31,Nonmarketable,United States Savings Securities,204024.745,0,204024.745,11,2006,4,2006,3,8,31
2006/9/30,Nonmarketable,United States Savings Securities,203656.3217,0,203656.3217,11,2006,4,2006,3,9,30
2006/10/31,Nonmarketable,United States Savings Securities,203210.437,0,203210.437,11,2007,1,2006,4,10,31
2006/11/30,Nonmarketable,United States Savings Securities,202800.0891,0,202800.0891,11,2007,1,2006,4,11,30
2006/12/31,Nonmarketable,United States Savings Securities,202433.3057,0,202433.3057,11,2007,1,2006,4,12,31
2007/1/31,Nonmarketable,United States Savings Securities,201358.3081,0,201358.3081,11,2007,2,2007,1,1,31
2007/2/28,Nonmarketable,United States Savings Securities,200890.8476,0,200890.8476,11,2007,2,2007,1,2,28
2007/3/31,Nonmarketable,United States Savings Securities,200334.5905,0,200334.5905,11,2007,2,2007,1,3,31
2007/4/30,Nonmarketable,United States Savings Securities,199784.441,0,199784.441,11,2007,3,2007,2,4,30
2007/5/31,Nonmarketable,United States Savings Securities,199168.4498,0,199168.4498,11,2007,3,2007,2,5,31
2007/6/30,Nonmarketable,United States Savings Securities,198647.7968,0,198647.7968,11,2007,3,2007,2,6,30
2007/7/31,Nonmarketable,United States Savings Securities,198094.036,0,198094.036,11,2007,4,2007,3,7,31
2007/8/31,Nonmarketable,United States Savings Securities,197426.1501,0,197426.1501,11,2007,4,2007,3,8,31
2007/9/30,Nonmarketable,United States Savings Securities,197125.8914,0,197125.8914,11,2007,4,2007,3,9,30
2007/10/31,Nonmarketable,United States Savings Securities,196870.7041,0,196870.7041,11,2008,1,2007,4,10,31
2007/11/30,Nonmarketable,United States Savings Securities,196649.3206,0,196649.3206,11,2008,1,2007,4,11,30
2007/12/31,Nonmarketable,United States Savings Securities,196452.3789,0,196452.3789,11,2008,1,2007,4,12,31
2008/1/31,Nonmarketable,United States Savings Securities,195689.6468,0,195689.6468,11,2008,2,2008,1,1,31
2008/2/29,Nonmarketable,United States Savings Securities,195583.0653,0,195583.0653,11,2008,2,2008,1,2,29
2008/3/31,Nonmarketable,United States Savings Securities,195425.0576,0,195425.0576,11,2008,2,2008,1,3,31
2008/4/30,Nonmarketable,United States Savings Securities,195326.5055,0,195326.5055,11,2008,3,2008,2,4,30
2008/5/31,Nonmarketable,United States Savings Securities,195225.4768,0,195225.4768,11,2008,3,2008,2,5,31
2008/6/30,Nonmarketable,United States Savings Securities,195002.5403,0,195002.5403,11,2008,3,2008,2,6,30
2008/7/31,Nonmarketable,United States Savings Securities,194752.8014,0,194752.8014,11,2008,4,2008,3,7,31
2008/8/31,Nonmarketable,United States Savings Securities,194467.1735,0,194467.1735,11,2008,4,2008,3,8,31
2008/9/30,Nonmarketable,United States Savings Securities,194253.4656,0,194253.4656,11,2008,4,2008,3,9,30
2008/10/31,Nonmarketable,United States Savings Securities,194236.3035,0,194236.3035,11,2009,1,2008,4,10,31
2008/11/30,Nonmarketable,United States Savings Securities,194216.1284,0,194216.1284,11,2009,1,2008,4,11,30
2008/12/31,Nonmarketable,United States Savings Securities,194074.5565,0,194074.5565,11,2009,1,2008,4,12,31
2009/1/31,Nonmarketable,United States Savings Securities,193809.7628,0,193809.7628,11,2009,2,2009,1,1,31
2009/2/28,Nonmarketable,United States Savings Securities,194057.249,0,194057.249,11,2009,2,2009,1,2,28
2009/3/31,Nonmarketable,United States Savings Securities,193975.1194,0,193975.1194,11,2009,2,2009,1,3,31
2009/4/30,Nonmarketable,United States Savings Securities,193998.1661,0,193998.1661,11,2009,3,2009,2,4,30
2009/5/31,Nonmarketable,United States Savings Securities,193870.7561,0,193870.7561,11,2009,3,2009,2,5,31
2009/6/30,Nonmarketable,United States Savings Securities,193591.5504,0,193591.5504,11,2009,3,2009,2,6,30
2009/7/31,Nonmarketable,United States Savings Securities,193266.8577,0,193266.8577,11,2009,4,2009,3,7,31
2009/8/31,Nonmarketable,United States Savings Securities,192822.1732,0,192822.1732,11,2009,4,2009,3,8,31
2009/9/30,Nonmarketable,United States Savings Securities,192452.4677,0,192452.4677,11,2009,4,2009,3,9,30
2009/10/31,Nonmarketable,United States Savings Securities,192171.6828,0,192171.6828,11,2010,1,2009,4,10,31
2009/11/30,Nonmarketable,United States Savings Securities,191799.4878,0,191799.4878,11,2010,1,2009,4,11,30
2009/12/31,Nonmarketable,United States Savings Securities,191297.8089,0,191297.8089,11,2010,1,2009,4,12,31
2010/1/31,Nonmarketable,United States Savings Securities,190900.7061,0,190900.7061,11,2010,2,2010,1,1,31
2010/2/28,Nonmarketable,United States Savings Securities,190660.8469,0,190660.8469,11,2010,2,2010,1,2,28
2010/3/31,Nonmarketable,United States Savings Securities,190292.7006,0,190292.7006,11,2010,2,2010,1,3,31
2010/4/30,Nonmarketable,United States Savings Securities,190063.1349,0,190063.1349,11,2010,3,2010,2,4,30
2010/5/31,Nonmarketable,United States Savings Securities,189854.8555,0,189854.8555,11,2010,3,2010,2,5,31
2010/6/30,Nonmarketable,United States Savings Securities,189664.7474,0,189664.7474,11,2010,3,2010,2,6,30
2010/7/31,Nonmarketable,United States Savings Securities,189420.1961,0,189420.1961,11,2010,4,2010,3,7,31
2010/8/31,Nonmarketable,United States Savings Securities,189039.7576,0,189039.7576,11,2010,4,2010,3,8,31
2010/9/30,Nonmarketable,United States Savings Securities,188796.4049,0,188796.4049,11,2010,4,2010,3,9,30
2010/10/31,Nonmarketable,United States Savings Securities,188674.3895,0,188674.3895,10,2011,1,2010,4,10,31
2010/11/30,Nonmarketable,United States Savings Securities,188400.5325,0,188400.5325,10,2011,1,2010,4,11,30
2010/12/31,Nonmarketable,United States Savings Securities,188006.8763,0,188006.8763,10,2011,1,2010,4,12,31
2011/1/31,Nonmarketable,United States Savings Securities,187537.1573,0,187537.1573,10,2011,2,2011,1,1,31
2011/2/28,Nonmarketable,United States Savings Securities,187303.2648,0,187303.2648,10,2011,2,2011,1,2,28
2011/3/31,Nonmarketable,United States Savings Securities,186863.7841,0,186863.7841,10,2011,2,2011,1,3,31
2011/4/30,Nonmarketable,United States Savings Securities,186561.5446,0,186561.5446,10,2011,3,2011,2,4,30
2011/5/31,Nonmarketable,United States Savings Securities,186428.0472,0,186428.0472,10,2011,3,2011,2,5,31
2011/6/30,Nonmarketable,United States Savings Securities,186085.2647,0,186085.2647,10,2011,3,2011,2,6,30
2011/7/31,Nonmarketable,United States Savings Securities,185758.1724,0,185758.1724,10,2011,4,2011,3,7,31
2011/8/31,Nonmarketable,United States Savings Securities,185368.4598,0,185368.4598,10,2011,4,2011,3,8,31
2011/9/30,Nonmarketable,United States Savings Securities,185187.2286,0,185187.2286,10,2011,4,2011,3,9,30
2011/10/31,Nonmarketable,United States Savings Securities,185621.6035,0,185621.6035,10,2012,1,2011,4,10,31
2011/11/30,Nonmarketable,United States Savings Securities,185492.8512,0,185492.8512,10,2012,1,2011,4,11,30
2011/12/31,Nonmarketable,United States Savings Securities,185278.235,0,185278.235,10,2012,1,2011,4,12,31
2012/1/31,Nonmarketable,United States Savings Securities,185198.7609,0,185198.7609,10,2012,2,2012,1,1,31
2012/2/29,Nonmarketable,United States Savings Securities,185033.0438,0,185033.0438,10,2012,2,2012,1,2,29
2012/3/31,Nonmarketable,United States Savings Securities,184839.6366,0,184839.6366,10,2012,2,2012,1,3,31
2012/4/30,Nonmarketable,United States Savings Securities,184913.3509,0,184913.3509,10,2012,3,2012,2,4,30
2012/5/31,Nonmarketable,United States Savings Securities,184670.1512,0,184670.1512,10,2012,3,2012,2,5,31
2012/6/30,Nonmarketable,United States Savings Securities,184433.1688,0,184433.1688,10,2012,3,2012,2,6,30
2012/7/31,Nonmarketable,United States Savings Securities,184211.8484,0,184211.8484,10,2012,4,2012,3,7,31
2012/8/31,Nonmarketable,United States Savings Securities,183849.7598,0,183849.7598,10,2012,4,2012,3,8,31
2012/9/30,Nonmarketable,United States Savings Securities,183661.0447,0,183661.0447,10,2012,4,2012,3,9,30
2012/10/31,Nonmarketable,United States Savings Securities,183489.4495,0,183489.4495,10,2013,1,2012,4,10,31
2012/11/30,Nonmarketable,United States Savings Securities,183186.5334,0,183186.5334,10,2013,1,2012,4,11,30
2012/12/31,Nonmarketable,United States Savings Securities,182513.3268,0,182513.3268,10,2013,1,2012,4,12,31
2013/1/31,Nonmarketable,United States Savings Securities,182244.5406,0,182244.5406,10,2013,2,2013,1,1,31
2013/2/28,Nonmarketable,United States Savings Securities,182054.4294,0,182054.4294,10,2013,2,2013,1,2,28
2013/3/31,Nonmarketable,United States Savings Securities,181783.3342,0,181783.3342,10,2013,2,2013,1,3,31
2013/4/30,Nonmarketable,United States Savings Securities,181558.9239,0,181558.9239,10,2013,3,2013,2,4,30
2013/5/31,Nonmarketable,United States Savings Securities,181232.571,0,181232.571,10,2013,3,2013,2,5,31
2013/6/30,Nonmarketable,United States Savings Securities,180958.016,0,180958.016,10,2013,3,2013,2,6,30
2013/7/31,Nonmarketable,United States Savings Securities,180629.849,0,180629.849,10,2013,4,2013,3,7,31
2013/8/31,Nonmarketable,United States Savings Securities,180269.8144,0,180269.8144,10,2013,4,2013,3,8,31
2013/9/30,Nonmarketable,United States Savings Securities,180022.0158,0,180022.0158,10,2013,4,2013,3,9,30
2013/10/31,Nonmarketable,United States Savings Securities,179792.39,0,179792.39,10,2014,1,2013,4,10,31
2013/11/30,Nonmarketable,United States Savings Securities,179608.1363,0,179608.1363,10,2014,1,2013,4,11,30
2013/12/31,Nonmarketable,United States Savings Securities,179226.1796,0,179226.1796,10,2014,1,2013,4,12,31
2014/1/31,Nonmarketable,United States Savings Securities,178858.5808,0,178858.5808,11,2014,2,2014,1,1,31
2014/2/28,Nonmarketable,United States Savings Securities,178679.1344,0,178679.1344,11,2014,2,2014,1,2,28
2014/3/31,Nonmarketable,United States Savings Securities,178371.9996,0,178371.9996,11,2014,2,2014,1,3,31
2014/4/30,Nonmarketable,United States Savings Securities,178127.923,0,178127.923,11,2014,3,2014,2,4,30
2014/5/31,Nonmarketable,United States Savings Securities,177999.5161,0,177999.5161,11,2014,3,2014,2,5,31
2014/6/30,Nonmarketable,United States Savings Securities,177676.905,0,177676.905,11,2014,3,2014,2,6,30
2014/7/31,Nonmarketable,United States Savings Securities,177343.2531,0,177343.2531,11,2014,4,2014,3,7,31
2014/8/31,Nonmarketable,United States Savings Securities,177029.577,0,177029.577,11,2014,4,2014,3,8,31
2014/9/30,Nonmarketable,United States Savings Securities,176761.5608,0,176761.5608,11,2014,4,2014,3,9,30
2014/10/31,Nonmarketable,United States Savings Securities,176609.6376,0,176609.6376,11,2015,1,2014,4,10,31
2014/11/30,Nonmarketable,United States Savings Securities,176399.341,0,176399.341,11,2015,1,2014,4,11,30
2014/12/31,Nonmarketable,United States Savings Securities,175969.8249,0,175969.8249,11,2015,1,2014,4,12,31
2015/1/31,Nonmarketable,United States Savings Securities,175637.8257,0,175637.8257,11,2015,2,2015,1,1,31
2015/2/28,Nonmarketable,United States Savings Securities,175330.6867,0,175330.6867,11,2015,2,2015,1,2,28
2015/3/31,Nonmarketable,United States Savings Securities,174957.858,0,174957.858,11,2015,2,2015,1,3,31
2015/4/30,Nonmarketable,United States Savings Securities,174629.5659,0,174629.5659,11,2015,3,2015,2,4,30
2015/5/31,Nonmarketable,United States Savings Securities,174359.3935,0,174359.3935,11,2015,3,2015,2,5,31
2015/6/30,Nonmarketable,United States Savings Securities,173980.8478,0,173980.8478,11,2015,3,2015,2,6,30
2015/7/31,Nonmarketable,United States Savings Securities,173637.3668,0,173637.3668,11,2015,4,2015,3,7,31
2015/8/31,Nonmarketable,United States Savings Securities,173254.791,0,173254.791,11,2015,4,2015,3,8,31
2015/9/30,Nonmarketable,United States Savings Securities,172825.9167,0,172825.9167,11,2015,4,2015,3,9,30
2015/10/31,Nonmarketable,United States Savings Securities,172536.8203,0,172536.8203,11,2016,1,2015,4,10,31
2015/11/30,Nonmarketable,United States Savings Securities,172186.8484,0,172186.8484,11,2016,1,2015,4,11,30
2015/12/31,Nonmarketable,United States Savings Securities,171630.1212,0,171630.1212,11,2016,1,2015,4,12,31
2016/1/31,Nonmarketable,United States Savings Securities,171159.6835,0,171159.6835,11,2016,2,2016,1,1,31
2016/2/29,Nonmarketable,United States Savings Securities,170824.4827,0,170824.4827,11,2016,2,2016,1,2,29
2016/3/31,Nonmarketable,United States Savings Securities,170370.1402,0,170370.1402,11,2016,2,2016,1,3,31
2016/4/30,Nonmarketable,United States Savings Securities,169955.8768,0,169955.8768,11,2016,3,2016,2,4,30
2016/5/31,Nonmarketable,United States Savings Securities,169501.4451,0,169501.4451,11,2016,3,2016,2,5,31
2016/6/30,Nonmarketable,United States Savings Securities,169053.4742,0,169053.4742,11,2016,3,2016,2,6,30
2016/7/31,Nonmarketable,United States Savings Securities,168625.9123,0,168625.9123,11,2016,4,2016,3,7,31
2016/8/31,Nonmarketable,United States Savings Securities,168016.8937,0,168016.8937,11,2016,4,2016,3,8,31
2016/9/30,Nonmarketable,United States Savings Securities,167524.3682,0,167524.3682,11,2016,4,2016,3,9,30
2016/10/31,Nonmarketable,United States Savings Securities,166892.4475,0,166892.4475,11,2017,1,2016,4,10,31
2016/11/30,Nonmarketable,United States Savings Securities,166411.8999,0,166411.8999,11,2017,1,2016,4,11,30
2016/12/31,Nonmarketable,United States Savings Securities,165853.1799,0,165853.1799,11,2017,1,2016,4,12,31
2017/1/31,Nonmarketable,United States Savings Securities,165154.546,0,165154.546,11,2017,2,2017,1,1,31
2017/2/28,Nonmarketable,United States Savings Securities,164791.8408,0,164791.8408,11,2017,2,2017,1,2,28
2017/3/31,Nonmarketable,United States Savings Securities,164286.4488,0,164286.4488,11,2017,2,2017,1,3,31
2017/4/30,Nonmarketable,United States Savings Securities,163817.9321,0,163817.9321,11,2017,3,2017,2,4,30
2017/5/31,Nonmarketable,United States Savings Securities,163367.6099,0,163367.6099,11,2017,3,2017,2,5,31
2017/6/30,Nonmarketable,United States Savings Securities,162894.8336,0,162894.8336,11,2017,3,2017,2,6,30
2017/7/31,Nonmarketable,United States Savings Securities,162607.6254,0,162607.6254,11,2017,4,2017,3,7,31
2017/8/31,Nonmarketable,United States Savings Securities,162021.7738,0,162021.7738,11,2017,4,2017,3,8,31
2017/9/30,Nonmarketable,United States Savings Securities,161705.231,0,161705.231,11,2017,4,2017,3,9,30
2017/10/31,Nonmarketable,United States Savings Securities,161189.4381,0,161189.4381,11,2018,1,2017,4,10,31
2017/11/30,Nonmarketable,United States Savings Securities,160901.7653,0,160901.7653,11,2018,1,2017,4,11,30
2017/12/31,Nonmarketable,United States Savings Securities,160475.5066,0,160475.5066,11,2018,1,2017,4,12,31
2018/1/31,Nonmarketable,United States Savings Securities,159902.4004,0,159902.4004,11,2018,2,2018,1,1,31
2018/2/28,Nonmarketable,United States Savings Securities,159475.3404,0,159475.3404,11,2018,2,2018,1,2,28
2018/3/31,Nonmarketable,United States Savings Securities,159040.0019,0,159040.0019,11,2018,2,2018,1,3,31
2018/4/30,Nonmarketable,United States Savings Securities,158605.8018,0,158605.8018,11,2018,3,2018,2,4,30
2018/5/31,Nonmarketable,United States Savings Securities,158233.2186,0,158233.2186,11,2018,3,2018,2,5,31
2018/6/30,Nonmarketable,United States Savings Securities,157865.8665,0,157865.8665,11,2018,3,2018,2,6,30
2018/7/31,Nonmarketable,United States Savings Securities,157526.8388,0,157526.8388,11,2018,4,2018,3,7,31
2018/8/31,Nonmarketable,United States Savings Securities,157087.5561,0,157087.5561,11,2018,4,2018,3,8,31
2018/9/30,Nonmarketable,United States Savings Securities,156809.1008,0,156809.1008,11,2018,4,2018,3,9,30
2018/10/31,Nonmarketable,United States Savings Securities,156483.8798,0,156483.8798,11,2019,1,2018,4,10,31
2018/11/30,Nonmarketable,United States Savings Securities,156225.037,0,156225.037,11,2019,1,2018,4,11,30
2018/12/31,Nonmarketable,United States Savings Securities,155795.1675,0,155795.1675,11,2019,1,2018,4,12,31
2019/1/31,Nonmarketable,United States Savings Securities,155254.133,0,155254.133,11,2019,2,2019,1,1,31
2019/2/28,Nonmarketable,United States Savings Securities,154933.0387,0,154933.0387,11,2019,2,2019,1,2,28
2019/3/31,Nonmarketable,United States Savings Securities,154532.7614,0,154532.7614,11,2019,2,2019,1,3,31
2019/4/30,Nonmarketable,United States Savings Securities,154146.1929,0,154146.1929,11,2019,3,2019,2,4,30
2019/5/31,Nonmarketable,United States Savings Securities,153752.2198,0,153752.2198,11,2019,3,2019,2,5,31
2019/6/30,Nonmarketable,United States Savings Securities,153407.3336,0,153407.3336,11,2019,3,2019,2,6,30
2019/7/31,Nonmarketable,United States Savings Securities,153029.3956,0,153029.3956,11,2019,4,2019,3,7,31
2019/8/31,Nonmarketable,United States Savings Securities,152642.0185,0,152642.0185,11,2019,4,2019,3,8,31
2019/9/30,Nonmarketable,United States Savings Securities,152354.8579,0,152354.8579,11,2019,4,2019,3,9,30
2019/10/31,Nonmarketable,United States Savings Securities,152087.8294,0,152087.8294,11,2020,1,2019,4,10,31
2019/11/30,Nonmarketable,United States Savings Securities,151842.3473,0,151842.3473,11,2020,1,2019,4,11,30
2019/12/31,Nonmarketable,United States Savings Securities,151346.8326,0,151346.8326,11,2020,1,2019,4,12,31
2020/1/31,Nonmarketable,United States Savings Securities,150728.6158,0,150728.6158,11,2020,2,2020,1,1,31
2020/2/29,Nonmarketable,United States Savings Securities,150368.9748,0,150368.9748,11,2020,2,2020,1,2,29
2020/3/31,Nonmarketable,United States Savings Securities,150008.4897,0,150008.4897,11,2020,2,2020,1,3,31
2020/4/30,Nonmarketable,United States Savings Securities,150101.0609,0,150101.0609,11,2020,3,2020,2,4,30
2020/5/31,Nonmarketable,United States Savings Securities,150082.8785,0,150082.8785,11,2020,3,2020,2,5,31
2020/6/30,Nonmarketable,United States Savings Securities,149819.1276,0,149819.1276,11,2020,3,2020,2,6,30
2020/7/31,Nonmarketable,United States Savings Securities,149447.7613,0,149447.7613,11,2020,4,2020,3,7,31
2020/8/31,Nonmarketable,United States Savings Securities,149076.9202,0,149076.9202,11,2020,4,2020,3,8,31
2020/9/30,Nonmarketable,United States Savings Securities,148677.458,0,148677.458,11,2020,4,2020,3,9,30
2020/10/31,Nonmarketable,United States Savings Securities,148286.121,0,148286.121,11,2021,1,2020,4,10,31
2020/11/30,Nonmarketable,United States Savings Securities,147882.0007,0,147882.0007,11,2021,1,2020,4,11,30
2020/12/31,Nonmarketable,United States Savings Securities,147129.6791,0,147129.6791,11,2021,1,2020,4,12,31
2021/1/31,Nonmarketable,United States Savings Securities,146655.0925,0,146655.0925,11,2021,2,2021,1,1,31
2021/2/28,Nonmarketable,United States Savings Securities,146319.8756,0,146319.8756,11,2021,2,2021,1,2,28
2021/3/31,Nonmarketable,United States Savings Securities,145792.8793,0,145792.8793,11,2021,2,2021,1,3,31
2021/4/30,Nonmarketable,United States Savings Securities,145269.2873,0,145269.2873,11,2021,3,2021,2,4,30
2021/5/31,Nonmarketable,United States Savings Securities,144915.1369,0,144915.1369,11,2021,3,2021,2,5,31
2021/6/30,Nonmarketable,United States Savings Securities,144692.8979,0,144692.8979,11,2021,3,2021,2,6,30
2021/7/31,Nonmarketable,United States Savings Securities,144381.7822,0,144381.7822,11,2021,4,2021,3,7,31
2021/8/31,Nonmarketable,United States Savings Securities,144020.01,0,144020.01,11,2021,4,2021,3,8,31
2021/9/30,Nonmarketable,United States Savings Securities,143662.0569,0,143662.0569,11,2021,4,2021,3,9,30
2021/10/31,Nonmarketable,United States Savings Securities,143514.9452,0,143514.9452,11,2022,1,2021,4,10,31
2021/11/30,Nonmarketable,United States Savings Securities,144170.8578,0,144170.8578,11,2022,1,2021,4,11,30
2021/12/31,Nonmarketable,United States Savings Securities,146201.3285,0,146201.3285,11,2022,1,2021,4,12,31
2022/1/31,Nonmarketable,United States Savings Securities,148838.9623,0,148838.9623,11,2022,2,2022,1,1,31
2022/2/28,Nonmarketable,United States Savings Securities,149349.0341,0,149349.0341,11,2022,2,2022,1,2,28
2022/3/31,Nonmarketable,United States Savings Securities,149758.0968,0,149758.0968,11,2022,2,2022,1,3,31
2022/4/30,Nonmarketable,United States Savings Securities,153141.4883,0,153141.4883,11,2022,3,2022,2,4,30
