,signal,Return,totalreturn,profitline,loss_cut,interest,open_price
2014-09-01,1,0.1660264335886125,11.669998168945312,not crossed,safe,11.669998168945312,70.29000091552734
2014-12-01,1,-0.060237847494942945,6.910003662109375,not crossed,safe,-4.7599945068359375,79.0199966430664
2015-03-01,1,-0.11306473704160405,-2.3499984741210938,not crossed,safe,-9.260002136230469,81.9000015258789
2015-06-01,1,0.009858145813023484,-1.6200027465820312,not crossed,safe,0.7299957275390625,74.05000305175781
2015-09-01,1,0.062984540231275,2.9300003051757812,not crossed,safe,4.5500030517578125,72.23999786376953
2015-12-01,1,0.0614852646274908,7.5500030517578125,not crossed,safe,4.620002746582031,75.13999938964844
2016-03-01,1,0.045205109002954574,11.010002136230469,not crossed,safe,3.4599990844726562,76.54000091552734
2016-06-01,1,-0.01904164032938202,9.5,not crossed,safe,-1.5100021362304688,79.30000305175781
2016-09-01,1,-0.024460241503241182,7.540000915527344,not crossed,safe,-1.9599990844726562,80.12999725341797
2016-12-01,1,0.055881217964268357,11.830001831054688,not crossed,safe,4.290000915527344,76.7699966430664
2017-03-01,1,0.031924404008944446,14.330001831054688,not crossed,safe,2.5,78.30999755859375
2017-06-01,1,-0.01703499378375296,12.949996948242188,not crossed,safe,-1.3800048828125,81.01000213623047
2017-09-01,1,-0.06241487201891447,7.909996032714844,not crossed,safe,-5.040000915527344,80.75
2017-12-01,1,-0.0015019116932452551,7.7899932861328125,not crossed,safe,-0.12000274658203125,79.9000015258789
2018-03-01,1,0.08342143851811416,14.099990844726562,not crossed,safe,6.30999755859375,75.63999938964844
2018-06-01,1,-0.05237439460021245,9.919990539550781,not crossed,safe,-4.180000305175781,79.80999755859375
2018-09-01,1,0.03901189399983597,13.109992980957031,not crossed,safe,3.19000244140625,81.7699966430664
2018-12-01,1,0.19786451378148634,28.1199951171875,not crossed,safe,15.010002136230469,75.86000061035156
2019-03-01,1,0.10341976801243304,36.889991760253906,not crossed,safe,8.769996643066406,84.80000305175781
2019-06-01,1,0.016799254936697868,38.40998840332031,not crossed,safe,1.5199966430664062,90.4800033569336
2019-09-01,1,-0.34949282246289237,5.679985046386719,not crossed,safe,-32.730003356933594,93.6500015258789
2019-12-01,1,-0.13778164279409386,-7.040016174316406,not crossed,safe,-12.720001220703125,92.31999969482422
2020-03-01,1,0.29475768402722863,10.839984893798828,not crossed,safe,17.880001068115234,60.65999984741211
2020-06-01,1,0.03918399738518373,13.989986419677734,not crossed,safe,3.1500015258789062,80.38999938964844
2020-09-01,1,0.15455002523576408,26.149982452392578,not crossed,safe,12.159996032714844,78.68000030517578
2020-12-01,1,0.23605306835913878,45.90998458862305,not crossed,safe,19.76000213623047,83.70999908447266
2021-03-01,1,0.16929009511423979,61.28998947143555,not crossed,safe,15.3800048828125,90.8499984741211
2021-06-01,1,0.06579071991159897,68.0999870300293,not crossed,safe,6.80999755859375,103.51000213623047
2021-09-01,1,-0.01414124511605854,66.58998489379883,not crossed,safe,-1.5100021362304688,106.77999877929688
2021-12-01,1,-0.19901036835732172,44.4699821472168,not crossed,safe,-22.12000274658203,111.1500015258789
2022-03-01,1,-0.15711850358274293,27.849987030029297,not crossed,safe,-16.6199951171875,105.77999877929688
2022-06-01,1,-0.056310912082597316,22.879985809326172,not crossed,safe,-4.970001220703125,88.26000213623047
2022-09-01,1,-0.07532035806384924,16.119983673095703,not crossed,safe,-6.760002136230469,89.75
2022-12-01,1,0.012279523633978603,17.14999008178711,not crossed,safe,1.0300064086914062,83.87999725341797
2023-03-01,1,0.016156129044510525,18.499996185302734,not crossed,safe,1.350006103515625,83.55999755859375
2023-06-01,1,0.01953589324845549,20.14999771118164,not crossed,safe,1.6500015258789062,84.45999908447266
