,signal,Return,totalreturn,profitline,loss_cut,interest,open_price
2014-09-01,0.0,-0.09140000000000001,-6.4245060836792,not crossed,Losscut.,-6.4245060836792,70.29000091552734
2014-12-01,0.0,0.0625,-1.4857562934875492,crossed,safe,4.93874979019165,79.0199966430664
2015-03-01,0.0,0.0625,3.6329938018798824,crossed,safe,5.118750095367432,81.9000015258789
2015-06-01,0.0,0.0625,8.261118992614746,crossed,safe,4.628125190734863,74.05000305175781
2015-09-01,1.0,0.0516,11.988702882385255,crossed,safe,3.727583889770508,72.23999786376953
2015-12-01,1.0,0.0516,15.865926850891114,crossed,safe,3.8772239685058594,75.13999938964844
2016-03-01,1.0,0.0516,19.815390898132325,crossed,safe,3.949464047241211,76.54000091552734
2016-06-01,1.0,0.0516,23.907271055603026,crossed,safe,4.091880157470703,79.30000305175781
2016-09-01,1.0,0.0516,28.041978913879394,crossed,safe,4.134707858276367,80.12999725341797
2016-12-01,0.0,-0.055881217964268357,23.75197799835205,not crossed,safe,-4.290000915527344,76.7699966430664
2017-03-01,1.0,0.0516,27.792773872375488,crossed,safe,4.040795874023438,78.30999755859375
2017-06-01,0.0,0.01703499378375296,29.172778755187988,not crossed,safe,1.3800048828125,81.01000213623047
2017-09-01,0.0,0.0625,34.21965375518799,crossed,safe,5.046875,80.75
2017-12-01,0.0,0.0625,39.21340385055542,crossed,safe,4.993750095367432,79.9000015258789
2018-03-01,0.0,-0.09140000000000001,32.29990790634155,not crossed,Losscut.,-6.913495944213868,75.63999938964844
2018-06-01,0.0,0.05237439460021245,36.47990821151733,not crossed,safe,4.180000305175781,79.80999755859375
2018-09-01,1.0,0.05159999999999999,40.69924003829956,crossed,safe,4.219331826782226,81.7699966430664
2018-12-01,1.0,0.0516,44.6136160697937,crossed,safe,3.9143760314941405,75.86000061035156
2019-03-01,1.0,0.0516,48.989296227264404,crossed,safe,4.375680157470703,84.80000305175781
2019-06-01,0.0,-0.016799254936697868,47.469299584198,not crossed,safe,-1.5199966430664062,90.4800033569336
2019-09-01,0.0,0.0625,53.32242467956543,crossed,safe,5.853125095367432,93.6500015258789
2019-12-01,0.0,0.0625,59.09242466049194,crossed,safe,5.769999980926514,92.31999969482422
2020-03-01,0.0,0.0625,62.8836746509552,crossed,safe,3.791249990463257,60.65999984741211
2020-06-01,0.0,0.0625,67.90804961280823,crossed,safe,5.024374961853027,80.38999938964844
2020-09-01,1.0,0.0516,71.96793762855529,crossed,safe,4.05988801574707,78.68000030517578
2020-12-01,1.0,0.05159999999999999,76.28737358131409,crossed,safe,4.319435952758789,83.70999908447266
2021-03-01,1.0,0.05159999999999999,80.97523350257873,crossed,safe,4.687859921264648,90.8499984741211
2021-06-01,1.0,0.05160000000000001,86.31634961280822,crossed,safe,5.341116110229493,103.51000213623047
2021-09-01,1.0,0.0516,91.82619754981994,crossed,safe,5.509847937011719,106.77999877929688
2021-12-01,1.0,0.0516,97.56153762855529,crossed,safe,5.7353400787353515,111.1500015258789
2022-03-01,1.0,0.0516,103.019785565567,crossed,safe,5.458247937011719,105.77999877929688
2022-06-01,1.0,0.0516,107.5740016757965,crossed,safe,4.5542161102294925,88.26000213623047
2022-09-01,1.0,0.0516,112.2051016757965,crossed,safe,4.6311,89.75
2022-12-01,1.0,0.0516,116.53330953407287,crossed,safe,4.328207858276367,83.87999725341797
2023-03-01,1.0,0.016156129044510525,117.8833156375885,not crossed,safe,1.350006103515625,83.55999755859375
2023-06-01,0.0,-0.01953589324845549,116.23331411170959,not crossed,safe,-1.6500015258789062,84.45999908447266
